Brew_ID,Name,City,State,
130,Straub Brewery,St Mary's, PA,1
26,Sun King Brewing Company,Indianapolis, IN,1
456,Sunken City Brewing Company,Hardy, VA,1
62,Surly Brewing Company,Brooklyn Center, MN,1
448,Swamp Head Brewery,Gainesville, FL,1
382,Swashbuckler Brewing Company,Manheim, PA,1
50,SweetWater Brewing Company,Atlanta, GA,1
450,TailGate Beer,San Diego, CA,1
46,Tallgrass Brewing Company,Manhattan, KS,1
410,Tamarack Brewing Company,Lakeside, MT,1
491,Tampa Bay Brewing Company,Tampa, FL,1
8,Tapistry Brewing,Bridgman, MI,1
29,Taxman Brewing Company,Bargersville, IN,1
481,Telluride Brewing Company,Telluride, CO,1
211,Temperance Beer Company,Evanston, IL,1
470,Terrapin Brewing Company,Athens, GA,1
216,Texian Brewing Co.,Richmond, TX,1
273,The Alchemist,Waterbury, VT,1
458,The Black Tooth Brewing Company,Sheridan, WY,1
263,The Brewer's Art,Baltimore, MD,1
330,The Bronx Brewery,Bronx, NY,1
34,The Dudes' Brewing Company,Torrance, CA,1
329,The Just Beer Project,Burlington, VT,1
91,The Lion Brewery,Wilkes-Barre, PA,1
485,The Manhattan Brewing Company,New York, NY,1
10,The Mitten Brewing Company,Grand Rapids, MI,1
439,The Right Brain Brewery,Traverse City, MI,1
335,The Traveler Beer Company,Burlington, VT,1
143,Third Street Brewhouse,Cold Spring, MN,1
109,Thomas Hooker Brewing Company,Bloomfield, CT,1
154,Three Creeks Brewing,Sisters, OR,1
274,Three Notch'd Brewing Company,Charlottesville, VA,1
22,Three Pints Brewing,Martinsville, IN,1
283,Thunderhead Brewing Company,Kearney, NE,1
18,Tin Man Brewing Company,Evansville, IN,1
153,Tin Roof Brewing Company,Baton Rouge, LA,1
292,Tommyknocker Brewery,Idaho Springs, CO,1
475,Tonka Beer Company,Minnetonka, MN,1
98,Tröegs Brewing Company,Hershey, PA,1
266,Tractor Brewing Company,Albuquerque, NM,1
525,Triangle Brewing Company,Durham, NC,1
540,Twin Lakes Brewing Company,Greenville, DE,1
521,Twisted Pine Brewing Company,Boulder, CO,1
39,Twisted X Brewing Company,Dripping Springs, TX,1
191,Two Beers Brewing Company,Seattle, WA,1
75,Two Brothers Brewing Company,Warrenville, IL,1
244,Two Henrys Brewing Company,Plant City, FL,1
436,Two Roads Brewing Company,Stratford, CT,1
160,Uinta Brewing Company,Salt Lake City, UT,1
556,Ukiah Brewing Company,Ukiah, CA,1
127,Uncle Billy's Brewery and Smokeh...,Austin, TX,1
339,Uncle John's Fruit House Winery,St. John's, MI,1
523,Uncommon Brewers,Santa Cruz, CA,1
72,Union Craft Brewing,Baltimore, MD,1
203,Upland Brewing Company,Bloomington, IN,1
52,Upslope Brewing Company,Boulder, CO,1
547,Upstate Brewing Company,Elmira, NY,1
303,Utah Brewers Cooperative,Salt Lake City, UT,1
186,Vander Mill Ciders,Spring Lake, MI,1
114,Vault Brewing Company,Yardley, PA,1
323,Voodoo Brewery,Meadville, PA,1
296,Wachusett Brewing Company,Westminster, MA,1
507,Warbird Brewing Company,Fort Wayne, IN,1
95,Warped Wing Brewing Company,Dayton, OH,1
101,West Sixth Brewing,Lexington, KY,1
385,Westbrook Brewing Company,Mt. Pleasant, SC,1
352,Westfield River Brewing Company,Westfield, MA,1
133,Weston Brewing Company,Weston, MO,1
48,White Birch Brewing,Hooksett, NH,1
397,White Flame Brewing Company,Hudsonville, MI,1
297,Widmer Brothers Brewing Company,Portland, OR,1
362,Wild Onion Brewing Company,Lake Barrington, IL,1
182,Wild Wolf Brewing Company,Nellysford, VA,1
500,Wildwood Brewing Company,Stevensville, MT,1
551,Wind River Brewing Company,Pinedale, WY,1
510,Wingman Brewers,Tacoma, WA,1
212,Wisconsin Brewing Company,Verona, WI,1
240,Wiseacre Brewing Company,Memphis, TN,1
15,Witch's Hat Brewing Company,South Lyon, MI,1
345,Wolf Hills Brewing Company,Abingdon, VA,1
403,Wolverine State Brewing Company,Ann Arbor, MI,1
502,Woodchuck Hard Cider,Middlebury, VT,1
110,"Woodstock Inn, Station & Brewery",North Woodstock, NH,1
340,Wormtown Brewery,Worcester, MA,1
200,Worthy Brewing Company,Bend, OR,1
425,Wynkoop Brewing Company,Denver, CO,1
2,Against the Grain Brewery,Louisville, KY,2
63,Against The Grain Brewery,Louisville, KY,2
13,Blackrocks Brewery,Marquette, MI,2
96,Blackrocks Brewery,Marquette, MA,2
383,Blue Mountain Brewery,Afton, VA,2
415,Blue Mountain Brewery,Arrington, VA,2
378,Lucette Brewing Company,Menominee, WI,2
457,Lucette Brewing Company,Menominie, WI,2
167,Oskar Blues Brewery,Longmont, CO,2
504,Oskar Blues Brewery,Lyons, CO,2
262,Otter Creek Brewing,Waterbury, VT,2
276,Otter Creek Brewing,Middlebury, VT,2
164,Sly Fox Brewing Company,Phoenixville, PA,2
372,Sly Fox Brewing Company,Pottstown, PA,2
59,Summit Brewing Company,St. Paul, MN,2
139,Summit Brewing Company,St Paul, MN,2
